"EntityUrn","CtsUrn","Label","OptionalCtsGroupUrn","Notes"
"urn:cite:digAth:authors.auth1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@ἄνδρας[1]-1.1@συγγεγραφότας[1]","authors of historical works","",""
"urn:cite:digAth:authors.auth2","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@ποιητὰς","poets","",""
"urn:cite:digAth:authors.auth3","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@φιλοσόφους","philosophers","",""
"urn:cite:digAth:authors.auth4","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@οἱ[1]-1.1@ῥήτορες[1]","the Athenian orators","",""
"urn:cite:digAth:authors.auth5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[1]-1.2@ποιητῶν[1]","the poets after Archilochus","",""
"urn:cite:digAth:authors.auth6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[7]-1.2@Ἀκαδημαικῶν[1]","the Academics","",""
